No.,Epoch Time,Source,MAC Source,Source Port,Destination,MAC Destination,Destination Port,Protocol,Length,Frame Number,Frame length on the wire,Sequence number,Acknowledgment number,Urgent pointer,Syn,Fin,Push,Congestion Window Reduced (CWR),Explicit Congestion Notification,Time to live,Reserved bit,Don't fragment,More fragments,Fragment offset,Window size value,Total Length,Next sequence number,Timestamp value,Bytes sent since last PSH flag,Re1,Timestamp echo reply,Source
1,1563209919,10.7.15.101,00:08:02:1c:47:ae,49158,15.16.238.13,20:e5:2a:b6:93:f1,1042,1,66,1,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
2,1563209922,10.7.15.101,00:08:02:1c:47:ae,49158,15.16.238.13,20:e5:2a:b6:93:f1,1042,1,66,2,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
3,1563209928,10.7.15.101,00:08:02:1c:47:ae,49158,15.16.238.13,20:e5:2a:b6:93:f1,1042,1,62,3,62,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,48,0,0,0,2,0,mydoom
4,1563209940,10.7.15.101,00:08:02:1c:47:ae,49159,192.168.0.63,20:e5:2a:b6:93:f1,1042,1,66,4,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
5,1563209943,10.7.15.101,00:08:02:1c:47:ae,49159,192.168.0.63,20:e5:2a:b6:93:f1,1042,1,66,5,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
6,1563209949,10.7.15.101,00:08:02:1c:47:ae,49159,192.168.0.63,20:e5:2a:b6:93:f1,1042,1,62,6,62,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,48,0,0,0,2,0,mydoom
7,1563209961,10.7.15.101,00:08:02:1c:47:ae,49160,63.240.218.176,20:e5:2a:b6:93:f1,1042,1,66,7,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
8,1563209964,10.7.15.101,00:08:02:1c:47:ae,49160,63.240.218.176,20:e5:2a:b6:93:f1,1042,1,66,8,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
9,1563209970,10.7.15.101,00:08:02:1c:47:ae,49160,63.240.218.176,20:e5:2a:b6:93:f1,1042,1,62,9,62,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,48,0,0,0,2,0,mydoom
10,1563209982,10.7.15.101,00:08:02:1c:47:ae,49161,15.40.86.187,20:e5:2a:b6:93:f1,1042,1,66,10,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
11,1563209991,10.7.15.101,00:08:02:1c:47:ae,49161,15.40.86.187,20:e5:2a:b6:93:f1,1042,1,62,11,62,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,48,0,0,0,2,0,mydoom
12,1563209995,15.16.238.13,20:e5:2a:b6:93:f1,1042,10.7.15.101,00:08:02:1c:47:ae,49158,1,54,12,54,1,1,0,2,2,2,2,2,128,2,2,2,0,64240,40,1,0,0,1,0,normal
13,1563210003,10.7.15.101,00:08:02:1c:47:ae,49162,10.128.61.61,20:e5:2a:b6:93:f1,1042,1,66,13,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
14,1563210006,10.7.15.101,00:08:02:1c:47:ae,49162,10.128.61.61,20:e5:2a:b6:93:f1,1042,1,66,14,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
15,1563210012,10.7.15.101,00:08:02:1c:47:ae,49162,10.128.61.61,20:e5:2a:b6:93:f1,1042,1,62,15,62,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,48,0,0,0,2,0,mydoom
16,1563210016,192.168.0.63,20:e5:2a:b6:93:f1,1042,10.7.15.101,00:08:02:1c:47:ae,49159,1,54,16,54,1,1,0,2,2,2,2,2,128,2,2,2,0,64240,40,1,0,0,1,0,normal
17,1563210022,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,67,17,67,0,0,0,0,0,0,0,2,128,2,2,2,0,0,53,0,0,0,0,0,mydoom
18,1563210022,10.7.15.1,20:e5:2a:b6:93:f1,,10.7.15.101,00:08:02:1c:47:ae,,2,101,18,101,0,0,0,0,0,0,0,2,128,2,2,2,0,0,87,0,0,0,0,0,mydoom
19,1563210022,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,78,19,78,0,0,0,0,0,0,0,2,128,2,2,2,0,0,64,0,0,0,0,0,mydoom
20,1563210022,10.7.15.1,20:e5:2a:b6:93:f1,,10.7.15.101,00:08:02:1c:47:ae,,2,110,20,110,0,0,0,0,0,0,0,2,128,2,2,2,0,0,96,0,0,0,0,0,mydoom
21,1563210022,10.7.15.101,00:08:02:1c:47:ae,49163,199.89.1.120,20:e5:2a:b6:93:f1,25,1,66,21,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
22,1563210023,199.89.1.120,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49163,1,58,22,58,0,1,0,1,2,2,2,2,128,2,2,2,0,64240,44,0,0,0,2,0,normal
23,1563210023,10.7.15.101,00:08:02:1c:47:ae,49163,199.89.1.120,20:e5:2a:b6:93:f1,25,1,54,23,54,1,1,0,2,2,2,2,2,128,2,1,2,0,64240,40,1,0,0,2,0,mydoom
24,1563210023,199.89.1.120,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49163,3,119,24,119,1,1,0,2,2,1,2,2,128,2,2,2,0,64240,105,66,0,65,2,0,normal
25,1563210023,10.7.15.101,00:08:02:1c:47:ae,49163,199.89.1.120,20:e5:2a:b6:93:f1,25,1,54,25,54,1,66,0,2,2,2,2,2,128,2,1,2,0,64175,40,1,0,0,2,0,mydoom
26,1563210024,10.7.15.101,00:08:02:1c:47:ae,49164,157.130.29.226,20:e5:2a:b6:93:f1,1042,1,66,26,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
27,1563210025,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,81,27,81,0,0,0,0,0,0,0,2,128,2,2,2,0,0,67,0,0,0,0,0,mydoom
28,1563210025,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,28,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
29,1563210025,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,29,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
30,1563210025,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,30,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
31,1563210025,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,75,31,75,0,0,0,0,0,0,0,2,128,2,2,2,0,0,61,0,0,0,0,0,mydoom
32,1563210025,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,75,32,75,0,0,0,0,0,0,0,2,128,2,2,2,0,0,61,0,0,0,0,0,mydoom
33,1563210026,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,81,33,81,0,0,0,0,0,0,0,2,128,2,2,2,0,0,67,0,0,0,0,0,mydoom
34,1563210026,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,34,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
35,1563210026,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,35,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
36,1563210026,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,36,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
37,1563210026,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,75,37,75,0,0,0,0,0,0,0,2,128,2,2,2,0,0,61,0,0,0,0,0,mydoom
38,1563210026,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,75,38,75,0,0,0,0,0,0,0,2,128,2,2,2,0,0,61,0,0,0,0,0,mydoom
39,1563210027,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,81,39,81,0,0,0,0,0,0,0,2,128,2,2,2,0,0,67,0,0,0,0,0,mydoom
40,1563210027,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,40,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
41,1563210027,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,41,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
42,1563210027,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,42,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
43,1563210027,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,75,43,75,0,0,0,0,0,0,0,2,128,2,2,2,0,0,61,0,0,0,0,0,mydoom
44,1563210027,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,75,44,75,0,0,0,0,0,0,0,2,128,2,2,2,0,0,61,0,0,0,0,0,mydoom
45,1563210027,10.7.15.101,00:08:02:1c:47:ae,49164,157.130.29.226,20:e5:2a:b6:93:f1,1042,1,66,45,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
46,1563210029,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,81,46,81,0,0,0,0,0,0,0,2,128,2,2,2,0,0,67,0,0,0,0,0,mydoom
47,1563210029,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,47,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
48,1563210029,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,48,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
49,1563210029,10.7.15.1,20:e5:2a:b6:93:f1,,10.7.15.101,00:08:02:1c:47:ae,,2,102,49,102,0,0,0,0,0,0,0,2,128,2,2,2,0,0,88,0,0,0,0,0,mydoom
50,1563210029,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,80,50,80,0,0,0,0,0,0,0,2,128,2,2,2,0,0,66,0,0,0,0,0,mydoom
51,1563210029,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,51,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
52,1563210029,10.7.15.1,20:e5:2a:b6:93:f1,,10.7.15.101,00:08:02:1c:47:ae,,2,123,52,123,0,0,0,0,0,0,0,2,128,2,2,2,0,0,109,0,0,0,0,0,mydoom
53,1563210029,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,88,53,88,0,0,0,0,0,0,0,2,128,2,2,2,0,0,74,0,0,0,0,0,mydoom
54,1563210029,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,75,54,75,0,0,0,0,0,0,0,2,128,2,2,2,0,0,61,0,0,0,0,0,mydoom
55,1563210029,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,75,55,75,0,0,0,0,0,0,0,2,128,2,2,2,0,0,61,0,0,0,0,0,mydoom
56,1563210030,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,80,56,80,0,0,0,0,0,0,0,2,128,2,2,2,0,0,66,0,0,0,0,0,mydoom
